Date,Category,Amount,Payment Method,Notes
01-07-2024,Transportation,20,UPI,Auto Fare
01-07-2024,Transportation,20,UPI,Auto Fare
02-07-2024,Transportation,20,UPI,Auto Fare
02-07-2024,Transportation,20,UPI,Auto Fare
02-07-2024,Meal,80,UPI,Lunch
03-07-2024,Transportation,20,UPI,Auto Fare
03-07-2024,Meal,70,UPI,Lunch
03-07-2024,Meal,320,UPI,Dinner
03-07-2024,Meal,16,UPI,Dinner
04-07-2024,Groceries,850,UPI,Gas Cylinder
04-07-2024,Groceries,10,UPI,Grocercy
04-07-2024,Meal,50,UPI,Lunch
04-07-2024,Transportation,20,UPI,Auto Fare
04-07-2024,Miscellaneous,20,UPI,Auto Fare
05-07-2024,Transportation,20,UPI,Auto Fare
05-07-2024,Meal,50,UPI,Lunch
05-07-2024,Transportation,20,UPI,Auto Fare
05-07-2024,Groceries,121,UPI,Grocercy
05-07-2024,Meal,70,UPI,Dinner
06-07-2024,Transportation,20,UPI,Auto Fare
06-07-2024,Transportation,20,UPI,Auto Fare
07-07-2024,Groceries,124,UPI,Grocercy
07-07-2024,Groceries,85,UPI,Grocercy
07-07-2024,Groceries,90,UPI,Grocercy
07-07-2024,Groceries,35,UPI,Grocercy
07-07-2024,Meal,96,UPI,Dinner
08-07-2024,Transportation,20,UPI,Auto Fare
08-07-2024,Transportation,20,UPI,Auto Fare
08-07-2024,Groceries,35,UPI,Grocercy
09-07-2024,Transportation,20,UPI,Auto Fare
09-07-2024,Transportation,20,UPI,Auto Fare
09-07-2024,Groceries,41,UPI,Grocercy
09-07-2024,Rent,11940,UPI,Grocercy
10-07-2024,Transportation,20,UPI,Grocercy
10-07-2024,Meal,24,UPI,Lunch
10-07-2024,Meal,50,UPI,Lunch
10-07-2024,Transportation,20,UPI,Auto Fare
11-07-2024,Transportation,20,UPI,Auto Fare
11-07-2024,Transportation,20,UPI,Auto Fare
11-07-2024,Groceries,34,UPI,Grocercy
12-07-2024,Groceries,34,UPI,Grocercy
12-07-2024,Groceries,160,UPI,Grocercy
12-07-2024,Groceries,668,UPI,Grocercy
14-07-2024,Groceries,310,UPI,Grocercy
15-07-2024,Transportation,20,UPI,Auto Fare
15-07-2024,Transportation,20,UPI,Auto Fare
16-07-2024,Transportation,20,UPI,Auto Fare
16-07-2024,Transportation,20,UPI,Auto Fare
17-07-2024,Transportation,20,UPI,Auto Fare
17-07-2024,Transportation,20,UPI,Auto Fare
18-07-2024,Transportation,20,UPI,Auto Fare
18-07-2024,Transportation,20,UPI,Auto Fare
19-07-2024,Groceries,160,UPI,Grocercy
19-07-2024,Groceries,150,UPI,Grocercy
19-07-2024,Groceries,160,UPI,Grocercy
20-07-2024,Transportation,60,UPI,Auto Fare
20-07-2024,Groceries,100,UPI,Grocercy
22-07-2024,Groceries,220,UPI,Grocercy
22-07-2024,Transportation,40,UPI,Auto Fare
22-07-2024,Groceries,25,UPI,Grocercy
24-07-2024,Groceries,139,UPI,Grocercy
26-07-2024,Recharge,107,UPI,Bill
26-07-2024,Groceries,64,UPI,Grocercy
26-07-2024,Groceries,95,UPI,Grocercy
28-07-2024,Miscellaneous,120,UPI,Miscellaneous
28-07-2024,Miscellaneous,45,UPI,Miscellaneous
28-07-2024,Groceries,100,UPI,Grocercy
29-07-2024,Transportation,20,UPI,Auto Fare
29-07-2024,Transportation,1195,UPI,Ticket
29-07-2024,Transportation,1105,UPI,Ticket
29-07-2024,Transportation,20,UPI,Auto Fare
30-07-2024,Transportation,20,UPI,Auto Fare
30-07-2024,Transportation,20,UPI,Auto Fare
30-07-2024,Groceries,34,UPI,Grocercy
31-07-2024,Transportation,20,UPI,Auto Fare
31-07-2024,Transportation,20,UPI,Auto Fare
31-07-2024,Groceries,204,UPI,Grocercy
31-07-2024,Groceries,110,UPI,Grocercy
